Date,Country/Location,Rating,Author,Title,Body,Image links,Image Video Links,Verified Purchase,URL,Helpful count,Variation information,Styles,
05/07/2023,United States,1,Jessica D.,Doesnt blend,"I bought this blender to replace my Hamilton Beach blender that I had for over 10 years. I chose this model for the price n that it can crush ice. This product cannot even blend fruit let alone ice. It has these dull, little blades that I was skeptical of. I decided to give it a chance and what a shame. Im confused because this blender had great reviews.",,,TRUE,https://www.amazon.com/gp/customer-reviews/R2NW3ZO21MV0O6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0081PTLGU,0,B0081PTLGU,Color: Stainless Steel | Style: Blender,
05/07/2023,United States,4,Jeanae Torres,Has a hard time with large ice chunks,Otherwise consistent,,,TRUE,https://www.amazon.com/gp/customer-reviews/R38TA99AIFUXX3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0081PTLGU,0,B0081PTLGU,Color: Stainless Steel | Style: Blender,
05/05/2023,United States,4,Cat Mom,Makes Great Smoothies!,"I love the way this makes smoothies so smooth! Only thing is, remove the black top before pouring it out! The top popped off when trying to pour it into my glass.",,,TRUE,https://www.amazon.com/gp/customer-reviews/R8JFMCIM1QPCC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0081PTLGU,0,B0081PTLGU,Color: Stainless Steel | Style: Blender,
05/05/2023,United States,5,Elizabeth,Quick and Powerful,"I was surprised at how quickly and completely my smoothie mixed and the ice was crushed completely. I was used to other blenders leaving some small chunks, but not so with this one. I am very pleased.",,,TRUE,https://www.amazon.com/gp/customer-reviews/R2AYP3N9O1N5MA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0081PTLGU,0,B0081PTLGU,Color: Stainless Steel | Style: Blender,
05/04/2023,United States,5,crystal farr,Nice.,I love it,,,TRUE,https://www.amazon.com/gp/customer-reviews/RJOFK04NLFECC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0081PTLGU,0,B0086DY572,Color: Black | Style: Blender,
05/03/2023,United States,4,c.holman,Pleased with my purchase!,"The 4 star rating is only because I find it very difficult to put the top on completely but this does not stop me from using this appliance at all on every setting. It is not excessively noisy and I have never had noiseless blender. It is attractive and I would buy it again if needed, but hopefully that will not be for a long time. I use it for smoothies and crushing frozen fruit everyday and so far so good....",,,TRUE,https://www.amazon.com/gp/customer-reviews/R20TXSVJHKPSTN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0081PTLGU,0,B0081PTLGU,Color: Stainless Steel | Style: Blender,
05/03/2023,United States,4,Rulouie2,Works as described,Replaced very old blender with this item. Doesn’t seem to have as many settings as the old one but works well.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R35NNMHFP2OXL0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0081PTLGU,0,B0081PTLGU,Color: Stainless Steel | Style: Blender,
05/03/2023,United States,5,Jeanne Cotter,It Works Great for Protein Shakes,"I've gone through a couple blenders that can't hold up to crushing ice for protein shakes. This one so far is working great. I like a thicker shake and most blenders require more liquid to blend the ice, but this one is doing a great job for me.",,,TRUE,https://www.amazon.com/gp/customer-reviews/R231KWX4VRFW24/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0081PTLGU,0,B0086DY572,Color: Black | Style: Blender,
05/02/2023,United States,4,Elicia Buiveon,Nice,"Just one problem, after continuously using the lid come up",,,TRUE,https://www.amazon.com/gp/customer-reviews/RAKDHOAA0W2DS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0081PTLGU,0,B0086DY572,Color: Black | Style: Blender,
05/02/2023,United States,2,Heather Ward,Not 14 settings only 8,I haven't used it yet. But out of the box it is not the 14 settings it says in the description. There are only 8 settings as the high and low are only for high or low pulse. You can't put it on high or low then get additional settings out of it. There's only one speed setting for all the blending options. I haven't used it yet so I don't know what it is as it doesn't tell you anywhere in the user manual.,https://m.media-amazon.com/images/I/71gFU5vKrsL._SY1600.jpg,,TRUE,https://www.amazon.com/gp/customer-reviews/R1LAIJMEQT5LUD/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0081PTLGU,0,B0086DY572,Color: Black | Style: Blender,
