Date,Country/Location,Rating,Author,Title,Body,Image links,Image Video Links,Verified Purchase,URL,Helpful count,Variation information,Styles,
05/05/2023,United States,5,Hermosas,Exelente,Me encanto,,,TRUE,https://www.amazon.com/gp/customer-reviews/R24AYJ3AQ74INY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
05/05/2023,United States,5,Mary Ann Mast,blender,I use this daily for smoothies for my Dad. It blends quicker than most blenders. I like the two separate cups for having a clean cup when I empty the other.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R3DW1CYOVBV60J/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
05/05/2023,United States,5,"Alan Schreiber, Jr.",Fast smoothie or pina colada,"Ice pulverized with Coco Lopez, captain Morgan, barcardi mango rum, organic pure pineapple juice... 2 oz equal parts... worth every penny!",,,TRUE,https://www.amazon.com/gp/customer-reviews/R1R4CIJR1VIZL1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
05/04/2023,United States,5,Me gustaria resivir fotos de la entrega,Esta muy Bonita,"The media could not be loaded.
  
  
  
  
  
  
  
  
 

 

 

 

 

 

 

 

  
  
   🥰🥰🥰",,,TRUE,https://www.amazon.com/gp/customer-reviews/R3VGIB3IBGV061/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
05/04/2023,United States,5,christopher mooney,Smoothest smoothies ever,I've had the same nutribullet and blender for like 10 years and finally decided to upgrade. It's not quiet obviously but WAY quieter than my old blender was so I'm super happy about that and it just works much better!!!!!! so happy with it.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R1Y1RI21QW6CXN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
05/04/2023,United States,1,Victoria,Amazon shipped me chipped n used defected,"Blender has been used, chipped and not working!!!!Very disappointed","https://m.media-amazon.com/images/I/51pTecq1iZL._SY1600.jpg, https://m.media-amazon.com/images/I/611XIYGKRZL._SY1600.jpg, https://m.media-amazon.com/images/I/61Fby-HfxML._SY1600.jpg",,TRUE,https://www.amazon.com/gp/customer-reviews/RLWVG77V4IW9Z/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,2,B00939FV8K,Style: 1100 Watts with Single Serve,
05/03/2023,United States,5,EJ,High powered,I’ve used my share of low end blenders and invested in this one and it has a high powered motor and takes seconds to whip up shakes and smoothies. Easy to remove blade and clean - I use the single serves most and large one for guest or large group needs.,,,TRUE,https://www.amazon.com/gp/customer-reviews/RLELXEQSY8HA3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,2,B00939FV8K,Style: 1100 Watts with Single Serve,
05/03/2023,United States,4,Cheryl.Whitehead,VERY noisy.,"Very noisy, and not easy to assemble and disassemble.",,,TRUE,https://www.amazon.com/gp/customer-reviews/R1BINJKNVRIHP3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
05/03/2023,United States,1,phillip young,factory defective!,"Very disappointed! I plugged the unit into the outlet, no power. Performed an internal inspection and discovered that the resister was damaged. The unit is inoperable. Unfortunately I can not recommend this product.",,,TRUE,https://www.amazon.com/gp/customer-reviews/R242DH5WE0D53S/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
05/03/2023,United States,5,Alma G Canlas,It worked for peanut butter,"I bought this blender so I could make my own nut butter. So far I tried peanut butter, and it turned out creamy. So I'm happy with this.",https://m.media-amazon.com/images/I/31FAYYahqBL._SY1600.jpg,,TRUE,https://www.amazon.com/gp/customer-reviews/R3DHVKJT6WY38Y/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,2,B00939FV8K,Style: 1100 Watts with Single Serve,
05/03/2023,United States,5,Azucena Rodríguez,Me encanto gracias,Hermosas gracias amazon entrega rapida,,,TRUE,https://www.amazon.com/gp/customer-reviews/RNHRIQFLUHRDX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
05/02/2023,United States,5,Purple_Lvr72,GREAT,"This does everything I needed and wanted, and then some. The small cups make it easy to get a shake or smoothie to go.",,,TRUE,https://www.amazon.com/gp/customer-reviews/R1IUAAQU2BM4GB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,1,B00939FV8K,Style: 1100 Watts with Single Serve,
05/02/2023,United States,4,Tomyhil02,Makes great consistency smoothies,"The blender is pretty loud, but makes great consistency smoothies.",,,TRUE,https://www.amazon.com/gp/customer-reviews/R1699AY473W7G5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
05/02/2023,United States,4,Rafaelina,Potente,Es muy potente y efectiva. Estoy muy contenta.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R122I758XJK0AT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
05/02/2023,United States,5,Hugo Fernando,Super,Muy bien artículo,,,TRUE,https://www.amazon.com/gp/customer-reviews/R259A44LFBJ34U/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
05/01/2023,United States,5,Amazon Customer,Great product,Had to jump on the same price of this product. So far no issues,,,TRUE,https://www.amazon.com/gp/customer-reviews/R3W274GD8B1Q20/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
04/30/2023,United States,5,Silas,likin it,"got this baby half a decade ago. still goin strong. many a frozen margarita has been blended. many a gyro. many a soup that needed to be S M O O T H E R. and, many a smoothie.i recommend.",,,TRUE,https://www.amazon.com/gp/customer-reviews/R9LNH4NJMH8FE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,4,B00939FV8K,Style: 1100 Watts with Single Serve,
04/29/2023,United States,2,Marisol H.,Does not blend well,I don't know how this blender has such high reviews. I think a food processor would blend like this. I had an Oster and it blended more refined and it was cheaper. Is not worth paying more for less quality. It blends but the outcome is too chunky. Buy it at your own risk. but I'm telling you is not worth that price the quality of the blending is from a 25 dollar blender bought on wish.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R38DG6DVHBGMQZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
04/28/2023,United States,5,Amazon Customer,Very powerful blender!,I absolutely love this blender! It is very powerful makes it so easy to make my green smoothies. It’s definitely worth it and I love that it comes with the 2 cups so you can also use them to blend small portions and the cup is ready to go!!,,,TRUE,https://www.amazon.com/gp/customer-reviews/R5U32YAKSW69D/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,1,B00939FV8K,Style: 1100 Watts with Single Serve,
04/27/2023,United States,5,Gaby lacour,I love it,Next day delivery and it’s amazingI love it,,,TRUE,https://www.amazon.com/gp/customer-reviews/R1U5S5BHX8RSTM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
04/26/2023,United States,5,Cynthia Orozco,"Best Quality, Worth the Money","Great product. I decided to invest in a good blender since I have already gone through 3 (which added up to the cost of this Ninja blender). After realizing I need to stop being cheap and just make the purchase, I decided to go with the Ninja and it did not disappoint. It is very powerful, easy to use, easy to clean, and safe to use. The only con I'd say is that it is not the most discreet, however, it is less noisy than your average blender. This blender also acts as a food processor and honestly one of my favorite features. I am Hispanic and I make A LOTTT of SOFRITO! If you know, you know. The blender, although plastic, does not absorb the smell of the contents you put into the blender after each wash. Definitely worth the investment.",,,TRUE,https://www.amazon.com/gp/customer-reviews/R221D4BKV7IXKI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
04/25/2023,United States,5,horrormanpr,Excellent blender,I love my blender I do lots with it,,,TRUE,https://www.amazon.com/gp/customer-reviews/RWHSZGNRZO1VR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
04/24/2023,United States,5,Trina Stanfield,The best blender I have ever owned.,It's quick and does the job perfectly. Easy to use with simple directions and guidlines.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R2Y53ZWXLIY4CH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
04/22/2023,United States,5,Patricia Radloff,Easy to use,Super strong ! Easy pour lid as well. Worth every penny,,,TRUE,https://www.amazon.com/gp/customer-reviews/R3C9GHEYHHL0QN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
04/21/2023,United States,5,Carlo & Tasia,Horchata,"The media could not be loaded.
  
  
  
  
  
  
  
  
 

 

 

 

 

 

 

 

  
  
   This blender is top notch!!I just blended rice grains and cinnamon sticks and it did a Hella good job!! I'm impressed",https://m.media-amazon.com/images/I/71ngZpIt4yL._SY1600.jpg,,TRUE,https://www.amazon.com/gp/customer-reviews/R3MGHP3P17RT7M/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
04/21/2023,United States,5,Amazon Customer,Powerful Kitchen Appliance..,I love would.. sure would buy it again...,,,TRUE,https://www.amazon.com/gp/customer-reviews/R2EDRAGM6TEZ1I/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
04/21/2023,United States,5,Kira K.,Wow! Powerful!,My entire family is amazed at this blender. So powerful and quick. We have only used it a handful of times to make smoothies but so far we love it. I like that it’s heavy duty plastics versus glass. Great value for the money. I would recommend for sure.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R2I7NJJIXZNIAI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,2,B00939FV8K,Style: 1100 Watts with Single Serve,
