Date,Country/Location,Rating,Author,Title,Body,Image links,Image Video Links,Verified Purchase,URL,Helpful count,Variation information,Styles
05/07/2023,United States,4,M. Mainor,Good product,Mixes well. Crushes ice well. Don't like the top. You can't add ice unless you take the entire top off. Can get messy.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R1GPH48B3HVQJW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00EI7DPI0,0,,
05/07/2023,United States,1,Sue Meyer,It broke on the second use,"The first one we got was already opened and had been used. (Even though we bought it new). Then, the second one broke on the second use. This is the worst blender ever. All I made trying to make was a smoothie then it started smoking then just stopped working. The second use! Not worth the money.",,,TRUE,https://www.amazon.com/gp/customer-reviews/R2G4PX207EQ1A5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00EI7DPI0,0,,
05/07/2023,United States,1,MoodybluStar,Not powerful enough,"It took like 15 min to make a smoothie,maybe because the fruit was frozen?,but still it kept getting clogged,I had to keep stopping it to unclog it, annoying! Not powerfull enough",,,TRUE,https://www.amazon.com/gp/customer-reviews/R309GLLIKTLD04/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00EI7DPI0,0,,
05/07/2023,United States,4,Kim W,Just like any other blender,"It's worth the purchase for a basic blender but lacks in my expectation for ice-crushing, or making smoothies with frozen fruit. The lid is cheap and annoying for me because I have to take the lid off every few seconds to move the fruit around, replace the lid, blend, and remove the lid again to stir the frozen fruit. My hubby uses lots of water in his drinks so he thinks it's a great blender. My smoothies are thicker and take several more minutes. The idea to _self-clean works great. The noise level is high. It's just ok for me. I'd give 3.5 stars, but he gives 4-5.",,,TRUE,https://www.amazon.com/gp/customer-reviews/R3A3KWXP8V7ICO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00EI7DPI0,0,,
05/07/2023,United States,1,Amazon Customer,RUN,Horrible! Please do not waste your money. Does not even blend chopped watermelons!!!,,,TRUE,https://www.amazon.com/gp/customer-reviews/R2C7OU58V7UEID/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00EI7DPI0,0,,
05/06/2023,United States,4,Carol Sandoval,OK blender,"This blender is fine and I'll use it. Seems to have good power for blending. However, the lid is very difficult to remove to put ingredients in. Requires a lot of strength and patience.",,,TRUE,https://www.amazon.com/gp/customer-reviews/R4FH6E5GECT3G/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00EI7DPI0,0,,
05/06/2023,United States,5,A. Queen,Perfect Gift,I bought this as a gift for a coworker who mentioned wanting to make smoothies. She loves it! I also have the same one which I bought over a year ago. I love it because it's glass.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R16HUSUV340CME/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00EI7DPI0,0,,
05/06/2023,United States,1,Scully,Keep looking,"The blades are tiny, I have to constantly shake the unit for it to chop. I have to hold the lid down or else the lid slowly slides upwards. I’m outside of the return window now unfortunately. Do not recommend",,,TRUE,https://www.amazon.com/gp/customer-reviews/RVOSBHBCXGWR7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00EI7DPI0,0,,
05/06/2023,United States,2,David J. Clarke,Frozen fruit,Doesn’t do frozen fruit very good.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R33AVJKOLRF8AX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00EI7DPI0,0,,
05/06/2023,United States,1,Amazons best customer,Awful blender,This is the worst blender I have ever used. It can't even crush ice. Unit gets clogged up immediately when blending just about anything. I feel bad giving it away to Goodwill.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R2UJ0P8IQGRFGK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00EI7DPI0,0,,
05/05/2023,United States,1,Mejor de los esperado muy buena calidad,Una porquería,No tiene fuerza ni para hacer un juego,,,TRUE,https://www.amazon.com/gp/customer-reviews/R1X19HJ2SIM314/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00EI7DPI0,0,,
05/05/2023,United States,3,Maria de lourdes aguayo manzo,👎,Es muy estorbosa para lo que realmente muele,,,TRUE,https://www.amazon.com/gp/customer-reviews/R29TE423U89WSJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00EI7DPI0,0,,
05/04/2023,United States,1,Joe Bocchino,Don’t buy!,No power what so ever. You can’t even make a smoothie with it.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R17RGEBUGZX2J3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00EI7DPI0,0,,
05/04/2023,United States,5,Keem. B,Great value. Great blender,"For the price you can't go wrong. Any videos or pictures of the blender not blending properly is because it's not being used the right way. Liquid first and add your stuff little at a time, use ice or frozen fruit last or at the top not at the bottom.",,,TRUE,https://www.amazon.com/gp/customer-reviews/R2I44UWFC0Y7N9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00EI7DPI0,1,,
05/04/2023,United States,3,Aakshaye M Gaikar,Leaks liquid from the bottom,Doesn't blend too fine. Need to mix water to blend vegetables. Leaks liquid from the bottom when trying to pour.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R3GWCJJE1RDA6M/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00EI7DPI0,1,,
05/04/2023,United States,5,Sofia Rafael Isabella Argueta Claros,Works great,"I have my blender for a year now. It works like if I just got it. If you’re looking for a blender, this is the one. It will crush literally anything. Ice to make your ice cone.",,,TRUE,https://www.amazon.com/gp/customer-reviews/RP5FOS0ZWFAT9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00EI7DPI0,0,,
05/03/2023,United States,1,Tom,Junk!,"Burned up the first time we used it. We were making fresh salsa, not something that should be difficult for any blender, let alone burn one up!",,,TRUE,https://www.amazon.com/gp/customer-reviews/RR21TTO4K56LZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00EI7DPI0,1,,
05/03/2023,United States,5,Mandy,Best blender I've owned,I love the functionality of the lid that created a watertite seal and allows for easy pouring. The smoothie I made was perfect the first try.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R2LN4EWAONK8C5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00EI7DPI0,0,,
05/03/2023,United States,5,Nancy Trump,Behaves very well,Silly comment in a way. I have used many over a long time. This is easy and I love the pour spot.,,,FALSE,https://www.amazon.com/gp/customer-reviews/R4KW3ME3FKYHZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00EI7DPI0,0,,
05/03/2023,United States,1,Chris McJunkin,"Not very powerful, barely works","Not powerful at all. Will mix liquids easily, but not ice or frozen fruit.",,,TRUE,https://www.amazon.com/gp/customer-reviews/RX5IWIZYZKIQX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00EI7DPI0,1,,
05/02/2023,United States,1,arlene fortner,Blender,This blender did not Glenn very well as soon as you try to blend some thing it basically started leaking out the bottom so it was not worth the money or the time it’s not like the old time where you have the metal everything is plastic and plastic burns out very quickly and easily and you’re out of money within two uses of it so it’s not worth the time,,,TRUE,https://www.amazon.com/gp/customer-reviews/R1ZG2SNG6HSN9Z/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00EI7DPI0,1,,
05/02/2023,United States,3,Kathy,Makes good slushie ice,The motor is pretty loud but most blenders are unless you get an industrial size one but you'll pay quite a bit more. It does do really good shaved ice for like slushies It does good for blending protein shakes that's mainly what I got it for is to crush ice and also to blend protein shakes I had a Black and Decker that I got from Walmart and it was horrible. The lid is hard to get off You have to be very careful recommend taking it off in the sink because it will spill I like the glass part of it I don't like plastic parts.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R2Q0XYPSJKF5S4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00EI7DPI0,0,,
05/02/2023,United States,5,Anthony,Worth the price,Works like an expensive blender. Worth the price.Easy to clean. Glass is thick.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R2UFWMFIAJCKX4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00EI7DPI0,0,,
05/01/2023,United States,5,Paul R,Very Tough,"Great for making shakes and smoothies, it grinds up everything and is very sturdy.",,,TRUE,https://www.amazon.com/gp/customer-reviews/R1WCEG9F024FWY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00EI7DPI0,0,,
04/30/2023,United States,1,Misael pacheco,No powerful,It can blend a tomato take to much time so not good,,,TRUE,https://www.amazon.com/gp/customer-reviews/R1YOGENHL8NPRV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00EI7DPI0,0,,
04/30/2023,United States,1,Amazon Customer,Not working,Defective,,,TRUE,https://www.amazon.com/gp/customer-reviews/RWPKAUXAAAE61/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00EI7DPI0,0,,
04/29/2023,United States,4,Olive,Works great but lid hard to get on and off,The blender works fine and I like the built in pour spout but getting the lid on and off is a major struggle - I don’t recall this being an issue with past blenders.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R1XPNOUACNNYKO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00EI7DPI0,0,,
