Date,Country/Location,Rating,Author,Title,Body,Image links,Image Video Links,Verified Purchase,URL,Helpful count,Variation information,Styles
05/06/2023,United States,5,Lois,i like this product,"I am changing my original review. The back brakes do in fact work, but the first time you lock them, it is hard to do. Once you get them to lock that first time, it becomes easier to lock in place with your foot.",,,TRUE,https://www.amazon.com/gp/customer-reviews/R2F0JOGD60UMPK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B017ERMTUK,0,B019DHBCXE,Color: Slate Grey (Wheel Color May Vary)
05/03/2023,United States,5,Beth Hopkins,Great value!,Stroller is priced right and is a great value! I’m tall (5’10”) and don’t have to hunch down and it’s easy to push! Highly recommend!,,,TRUE,https://www.amazon.com/gp/customer-reviews/R1VUX9WWGXIIPN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B017ERMTUK,0,B017ERMTUK,Color: Fire Red (Wheel Color May Vary)
05/02/2023,United States,3,Ryan,Doesn’t close easy. Baby is not comfortable.,Very stiff. Baby is not comfortable. Does not fold easily.,,,TRUE,https://www.amazon.com/gp/customer-reviews/RHJQTU9YC75N0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B017ERMTUK,0,B017ERMTUK,Color: Fire Red (Wheel Color May Vary)
04/29/2023,United States,1,yshwnth,Doesn’t close completely,"Poor finish, can’t fold it to compact design. We missed our flight working on this stroller. Looks cheap and poor quality materials",,,TRUE,https://www.amazon.com/gp/customer-reviews/R30IJO05QB9Q6Z/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B017ERMTUK,0,B017ERMTUK,Color: Fire Red (Wheel Color May Vary)
04/26/2023,United States,2,Linds,Don’t buy,"I would return this if I still had the box . Now it’s just too much of a hassle to go find a box this big and return this. This definitely cannot be unfolded with one hand, in fact I have difficulty when using both hands to unfold. States use for up to 50 pounds, My daughter is 29 pounds and too big for this. Her feet hang off almost hitting the ground when pushed",,,TRUE,https://www.amazon.com/gp/customer-reviews/R34O0USGMT3RH9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B017ERMTUK,0,B019DHBCXE,Color: Slate Grey (Wheel Color May Vary)
04/25/2023,United States,4,mysalter,its simple and light,its simple and light. easy to use,,,TRUE,https://www.amazon.com/gp/customer-reviews/R1L46XAD7JRGT7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B017ERMTUK,0,B017ERMTUK,Color: Fire Red (Wheel Color May Vary)
04/24/2023,United States,5,Nancy Deemer,Lightweight,Found just the stroller I was looking for. Very lightweight but does not tip over like an umbrella stroller. Easy to fold and carry while getting off and on Disney buses. Hood provides shade. They snack table is a welcome addition.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R214C1KMH45P30/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B017ERMTUK,0,B019DHBCXE,Color: Slate Grey (Wheel Color May Vary)
04/23/2023,United States,5,Abigail,Perfect for a day out!,This stroller is perfect for walks on even terrain and for days out with your child. It is small and maneuvers really well. We were putting up with using a giant jogging stroller for all of our walks and outings until we got this little stroller. It was a serious upgrade! It is small enough to fit in the closet by our front door but also big enough to hold a very full diaper bag in the lower compartment. We have used this for 7 months and it has held up well. Also very easy to put together.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R23P3VUO1YQ6HP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B017ERMTUK,4,B019DHBCXE,Color: Slate Grey (Wheel Color May Vary)
04/23/2023,United States,5,Alexa terry,Love this stroller,Super easy to fold up. It’s lightweight and convenient. Worth the money.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R1Z9S5F8I0L5JZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B017ERMTUK,0,B017ERMTUK,Color: Fire Red (Wheel Color May Vary)
04/20/2023,United States,1,AmazonBuyer,7 pieces - no instructions,Product arrived in 7 pieces with no instructions!,,,TRUE,https://www.amazon.com/gp/customer-reviews/R3HU3CHAYO7GCQ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B017ERMTUK,0,B017ERMTUK,Color: Fire Red (Wheel Color May Vary)
