Date,Country/Location,Rating,Author,Title,Body,Image links,Image Video Links,Verified Purchase,URL,Helpful count,Variation information,Styles
05/05/2023,United States,2,Mo,"Lightweight, Feels Cheap, won’t last on city streets","Cheap materials. It’s lightweight but takes way more effort to push/stroll than other strollers. It also takes a bit of effort to open and collapse. There is NO way this thing will last on most city streets. This rolls similar to our $20 umbrella stroller. Strolling this in a mall, store, or a nicely paved sidewalk works well. Any serious bumps and this thing twists and turns like a wooden rollercoaster.",,,TRUE,https://www.amazon.com/gp/customer-reviews/R2N4WVN4PGWJ3L/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07NZPT3TR,1,B07NZPT3TR,Style: City Tour 2 Stroller | Color: Pitch Black
05/05/2023,United States,5,Amazon Customer,So glad we bought this stroller,"I spent a few hours looking and reading about different compact strollers. I wanted to find one that was compact, comfortable for my 2 year old, and one that didn't cost a fortune. We took this stroller to New York City and it was perfect for my 2 year old. She was comfy and we loved that the seat reclines into different positions so she was able to nap on the go. The stroller was easy to fold up once you figured it out, and quick to hop in and out of ubers. This stroller was a lifesaver for our trip!! Perfect!",,,TRUE,https://www.amazon.com/gp/customer-reviews/R2VXMTUVVNARO8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07NZPT3TR,1,B07NZPT3TR,Style: City Tour 2 Stroller | Color: Pitch Black
04/29/2023,United States,5,Rebecca Stark,Compact and Awesome!,We love this stroller! It is so easy to use and compact. You can even fold with one hand too and comes with a handy bag too. We started using when our baby was around 4 months old. Our daughter sleeps great in this as well in the semi-reclined position.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R3UHM0SEC6AUB1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07NZPT3TR,0,B07NZPT3TR,Style: City Tour 2 Stroller | Color: Pitch Black
04/25/2023,United States,3,Amazon Customer,Short backboard,"This stroller seems great, except the short backboard makes it uncomfortable for both of my average height children (3yo and 5yo). When sitting upright, as long as they’re looking around it’s fine, but if they try to rest their heads back, the edge digs in. It’s much worse when reclined, they’d need a blanket folded and covering the top edge of the back to make it usable.",,,TRUE,https://www.amazon.com/gp/customer-reviews/R39PDEVAKRB2HG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07NZPT3TR,0,B07NZPT3TR,Style: City Tour 2 Stroller | Color: Pitch Black
04/25/2023,United States,5,Datina Moore,Glad I made this purchase,"I was very skeptical at first due to the negative reviews on this stroller but after getting it I'm happy I did. Its a nice size and folds down to be really small, it can fit behind my son's card seat. To me it isn't that light, I mean it not unbearably heavy but it isn't lightweight. It does have a small basket at the bottom but it is perfect for travel or a stroll. For me it does what I need it to do. My son is comfy in it and can lay all the way. I like the extra coverage from the sun, its been helpful a few times.",,,TRUE,https://www.amazon.com/gp/customer-reviews/R2T4VBJ05MYKSS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07NZPT3TR,1,B0BQ5G5NFG,Style: City Tour 2 Stroller | Color: Pike
04/23/2023,United States,5,Olavojka,nice,"i think this is a great stroller super easy to assemble, the only thing is that doesn’t have a place to hang the bags or to put a water cup. otherwise i’m happy with the quality",,,TRUE,https://www.amazon.com/gp/customer-reviews/R2AEQCGPYQKKY0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07NZPT3TR,0,B0BQ5G5NFG,Style: City Tour 2 Stroller | Color: Pike
04/20/2023,United States,5,Marian Stangby,So far so good.,"I bought this stroller for my currently 7 months old baby. We have the Chicco Bravo, and even though we love it because it's big and comfy, it takes up the entire trunk in our suv, it’s heavy, bulky and won’t fit in a plane cabin. I researched for a while and decided to give the baby jogger a try. An easy to fold, small to bring in cabin and sturdy stroller were a must since we plan on traveling by plane very often, plus we also want it for everyday use. Pros: FOOTREST! Our big full size stroller doesn’t have this, and it’s a must for taking naps. It’s easy to fold, and folds very small which is impressive. It came fully assembled and just had to put in the wheels which took me less than 30 seconds. I like the almost flat recline back rest. When pushing, it feels very lightweight compared to my big stroller. People have complained about the harness, but all the pieces came together and don’t detach easily so that’s fast too. Cons: basket is VERY small, but it’s a travel stroller so that’s understandable. On our big stroller we have a large basket where we can fit 2 backpacks but I believe this one can only hold a small purse. The canopy could be larger because the sun hits directly on baby’s chest.I’ll be using it for a couple months before we travel and I’ll edit the review if necessary.",https://m.media-amazon.com/images/I/81y-5HAsmnL._SY1600.jpg,,TRUE,https://www.amazon.com/gp/customer-reviews/R1G6TOS4WZKM22/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07NZPT3TR,7,B07NZPT3TR,Style: City Tour 2 Stroller | Color: Pitch Black
03/29/2023,United States,5,Katie N,Great compact stroller,"I researched which compact stroller to buy. We currently have a Doona car seat stroller and she is getting ready to upgrade to her convertible seat. I wanted something to leave in the car and use when we travel. I already have a baby jogger city select and a stroller wagon so spending another few hundred dollars on a stroller, it had to be worth it. When this stroller is open, it’s actually pretty spacious, it’s not as small as the usual umbrella stroller.This stroller is “easy” to fold- can be one handed but two is easier. My 10 month old loved it. She was very comfortable in the stroller and has plenty of room to grow with it. I immediately took it outside and pushed it through our yard including the gravel we have- pushed just fine. Bumpy but didn’t get stuck. The features are very easy to use and so is assembly.I work for an airline so being compact when folded was very important to me. This stroller would fit in majority of the planes as a carry on. The backpack is an added bonus.",,,FALSE,https://www.amazon.com/gp/customer-reviews/R1BIQXIU4PYQ5A/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07NZPT3TR,0,B07NZPT3TR,Style: City Tour 2 Stroller | Color: Pitch Black
03/21/2023,United States,5,Jéssica Camargos,The best,"I love this stroller, it’s easy to fold great space my toddler love it",,,TRUE,https://www.amazon.com/gp/customer-reviews/R37HQ7MVJBJEL5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07NZPT3TR,0,B07NZPT3TR,Style: City Tour 2 Stroller | Color: Pitch Black
03/02/2023,United States,5,Taylor,Perfect for travel,"This stroller was perfect for our cruise. It easily travels over cobble stone roads, easily went over bumps, layer back for naps, and folds up really small! The only con I have is I did find it difficult to open. Otherwise I would 100% recommend this!",,,TRUE,https://www.amazon.com/gp/customer-reviews/R39BJVAWN7Z3AD/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07NZPT3TR,4,B07NZPT3TR,Style: City Tour 2 Stroller | Color: Pitch Black
