Date,Country/Location,Rating,Author,Title,Body,Image links,Image Video Links,Verified Purchase,URL,Helpful count,Variation information,Styles,
05/07/2023,United States,1,Mike W.,Does not turn,"Front wheels are in a fixed position thus preventing the user from being able to turn without the risk of tipping the stroller with the baby in it. Do not purchase, very dangerous.",,,TRUE,https://www.amazon.com/gp/customer-reviews/R2UCCJKID9DMNA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B07SRVB6T6,Color: Pink/Black,
05/07/2023,United States,2,InxDisgust,Incredibly short,"I’m 5,10” and my wife is 5,6” and we both found this stroller too short and uncomfortable to use. For the price it does offer a lot. But it is flimsy feeling versus a full size stroller. It’s light and would be perfect for traveling if it wasn’t so short.",,,FALSE,https://www.amazon.com/gp/customer-reviews/R3C4ASSJUNVDBR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B07GGHVL64,Color: Blue,
05/06/2023,United States,5,Razzy,Excellent,I have a Nuna stroller for daily operations and purchased this one for frequent travels. I like the light weight and how little room it takes. Just came back from Mexico and it did an excellent job. Look forward to more trips with this one.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R3HHCQOCEYBEBN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B07GGHVL64,Color: Blue,
05/05/2023,United States,1,Lisa Fea,Rolling issue,Purchased for an upcoming cruise the stroller is nice however the wheels hardly rotate making it hard to control the stroller direction.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R2G2KKM3QBLYLF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B07SRVB6T6,Color: Pink/Black,
05/05/2023,United States,5,Kryss,Price,Nice stroller the price was decent. Arrived on time.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R2PGO1GA785VH3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B07GGHVL64,Color: Blue,
05/05/2023,United States,4,Perfect for traveling and quick runs!,Truly enjoy this stroller whenever my family and I have to travel with the little one.,"It's extremely convenient, quick to fold/unfold and super light so you don't feel burdened carrying it around. I just wish it were bit sturdier, because sometimes it can feel like a toy stroller.",,,TRUE,https://www.amazon.com/gp/customer-reviews/R1UCWVDNXZ01VU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B07GGHVL64,Color: Blue,
05/04/2023,United States,2,Ashley S.,Doesn't work,We bought this for a vacation to use. Wheels don't turn and are un even.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R39VO4IC2VQD9L/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B07GGHVL64,Color: Blue,
05/04/2023,United States,5,Amazon Customer,Great stroller for travel,Bought this stroller for traveling via airplane. Wanted something light weight and easy to fold up. This surpassed my expectations! It’s offers a smooth and safe ride and it doesn’t feel cheaply made. Only thing is the bottom basket is small. It wasn’t an issue for me but wanted to mention it for potential buyers! Included a picture of my 15 month old son for reference. He is the 90th percentile for height) so if you have taller kiddos this stroller is great!,https://m.media-amazon.com/images/I/71RfL3r+SWL._SY1600.jpg,,TRUE,https://www.amazon.com/gp/customer-reviews/R22DBSIWDZD6Q9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,1,B07P1YSC18,Color: Gray,
05/03/2023,United States,4,chrishay davis,This is a more temporary stroller.,This stroller works very well I really like it for the price. It’s very light and easy to carry around great for traveling. But my only issue is that when I wet on my trip to Jamaica my stroller got beat up between plane transfers. Now my front wheels get stuck and won’t turn properly. Other than that this is a good stroller.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R3SN5U80K7VZ2T/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B07GGHVL64,Color: Blue,
05/02/2023,United States,2,vanessa day,Sorry but not worth $60,"I got the open box one for $40 and I’m not happy with it. It’s juat a basic umbrella stroller with a cover that hardly shields my son, and a fanny pack that looks like the zipper will fail after one use. I’m returning it. :/",,,TRUE,https://www.amazon.com/gp/customer-reviews/R8S0MMSU84AH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B07GGHVL64,Color: Blue,
